"LimesLimits_ID";"X_coordinate";"Y_coordinate";"Place";"Toponym";"Site_type";"Nb_finds";"Nb_runs_IJZL"
1;179520;417600;"Escharen";"Graafsche Raam";"rural settlement";10;993
4;180500;417500;"Escharen";"Escharense Veld I";"rural settlement; burial(s)";10;1000
33;173600;416800;"Schaijk";"Kleefsestraat";"rural settlement";10;1000
37;171650;423750;"Deursen";"Het Steenwerk";"rural settlement; burial(s)";10;1000
39;170600;423900;"Deursen";"De Woerden";"rural settlement";10;712
40;170100;422950;"Deursen";"Onze Lieve Vrouwenberg";"rural settlement";10;1000
42;174600;422100;"Neerloon";"Kalfsheuvel";"rural settlement";10;1000
43;167200;415200;"Nistelrode";"Vorssel I";"rural settlement";10;1000
47;165000;416800;"Heesch";"A59";"rural settlement";10;1000
48;163600;416600;"Heesch";"Broekhoek I";"rural settlement";10;1000
49;161950;413280;"Vinkel";"Munnekens";"rural settlement";10;1000
50;160850;413050;"Vinkel";"Sportpark";"rural settlement";10;1000
54;163050;420220;"Oss";"Westerveld";"rural settlement";10;1000
55;163350;420800;"Oss";"Schalkskamp";"rural settlement";10;1000
63;169950;424050;"Deursen";"De Pas";"rural settlement";10;1000
67;169800;422650;"Deursen";"Avenduur";"rural settlement";10;1000
69;168550;422800;"Haren";"Spaanse Steeg";"rural settlement; cult site?";10;1000
70;167950;422050;"Berghem";"Lallenberg I";"rural settlement; burial(s)";10;1000
72;167650;422700;"Berghem";"In het Broek";"rural settlement";10;1000
74;166800;423050;"Berghem";"Het Winkel";"rural settlement";10;1000
75;166150;423400;"Macharen";"Harense Broek I";"rural settlement";10;995
77;165150;423100;"Macharen";"Hoogoord";"rural settlement";10;1000
82;162500;423350;"Teeffelen";"De Honig";"rural settlement; burial(s)?";10;1000
83;162750;422600;"Teeffelen";"Weteringstraat";"rural settlement";10;1000
86;161850;422500;"Teeffelen";"De Kampen";"rural settlement";10;1000
95;150250;415500;"Empel";"Het Slot";"rural settlement";10;996
99;148300;415500;"'s-Hertogenbosch";"Maaspoort";"rural settlement";10;1000
102;158250;422800;"Lith";"Tussen de Stegen";"rural settlement";10;1000
103;157475;422700;"Lith";"Over de Uitslagersteeg";"rural settlement";10;1000
111;139500;448750;"Houten";"Burgemeester Wallerweg";"rural settlement, stone-built; burial(s)";10;1000
112;139130;448760;"Houten";"Tiellandt";"rural settlement; burial(s)";10;1000
113;138190;449200;"Houten";"Wulven";"rural settlement, stone-built?; burial(s)";10;1000
118;153450;435400;"Erichem";"Hooge Korn";"rural settlement";10;1000
134;159480;435680;"Medel";"Rotonde";"rural settlement, stone-built?";10;1000
136;142780;431280;"Enspijk";"Oude Weische Blok";"rural settlement";10;1000
142;150200;429500;"Est";"Rondweg";"rural settlement";10;998
150;147850;432150;"Geldermalsen";"Binnenveld";"rural settlement";10;1000
152;154780;433480;"Kapel-Avezaath";"Bergakker Noord";"rural settlement; burial(s)";10;984
163;154590;436160;"Kerk-Avezaath";"Korenbroek II";"rural settlement";10;1000
211;153040;428000;"Ophemert";"Jonkerskamp";"rural settlement";10;1000
241;156750;431050;"Tiel";"Hogeweg-Zennewijnenseweg";"rural settlement";10;1000
244;156100;431000;"Tiel";"Passewaaijse Hogeweg I";"rural settlement";10;1000
258;152200;430450;"Wadenoijen";"Breeuwert";"rural settlement";10;801
273;159600;437530;"Zoelen";"De Hevel";"rural settlement";10;991
282;156400;436180;"Zoelen";"Vergarde";"rural settlement; burial(s)";10;1000
285;157190;436560;"Zoelen";"De Meerboom";"rural settlement";10;623
321;149650;430100;"Est";"Rijs en Ooyen";"rural settlement; cult site?";10;1000
324;148100;428750;"Waardenburg";"Snelleveld";"rural settlement";10;993
326;142020;430280;"Gellicum";"Boutenstein I";"rural settlement; burial(s)?";10;1000
331;144910;426050;"Tuil";"Lindenhof";"rural settlement";10;1000
332;140500;431550;"Rumpt";"De Worden";"rural settlement";10;783
333;143105;431765;"Deil";"Panweg";"rural settlement";10;1000
334;143000;432500;"Enspijk";"Klaphek";"rural settlement";10;995
335;145050;431810;"Deil";"Hooiblok";"rural settlement; cult place?";10;1000
337;144340;432070;"Deil";"Oude Winkel";"rural settlement";10;1000
339;145905;431795;"Deil";"Kijfakker";"rural settlement";10;1000
341;147900;431870;"Geldermalsen";"Provincialeweg Oost";"rural settlement";10;1000
342;147400;432100;"Geldermalsen";"Industrieweg";"rural settlement";10;1000
360;160400;435725;"Medel";"Ooijsche Wetering";"rural settlement; burial(s)";10;1000
