"LimesLimits_ID";"X_coordinate";"Y_coordinate";"Place";"Toponym";"Site_type";"Nb_finds";"Nb_runs_ROMVA";"Nb_runs_ROMVB"
3;178540;418540;"Grave";"De Zittert";"rural settlement";10;1000;1000
7;179880;415860;"Escharen";"Hoogeburgt";"rural settlement";10;985;1000
21;187500;416500;"Cuijk";"Heeswijkse Kampen I";"rural settlement; burial(s)";10;50;1000
25;182850;417250;"Gassel";"Overlaat";"rural settlement";10;562;939
35;172370;422570;"Ravenstein";"Burgemeester van der Wielstraat";"rural settlement";10;950;1000
44;167550;415200;"Nistelrode";"Vorssel II";"rural settlement";10;102;581
47;165000;416800;"Heesch";"A59";"rural settlement";10;235;658
49;161950;413280;"Vinkel";"Munnekens";"rural settlement";10;1000;1000
58;165100;420950;"Oss";"Horzak II";"rural settlement; burial(s)";10;850;999
59;165830;421100;"Oss";"IJsselstraat";"rural settlement";10;1000;1000
60;163660;420220;"Oss";"Zaltbommelseweg";"rural settlement";10;1000;1000
76;165900;424050;"Macharen";"Dorp";"rural settlement";10;466;972
95;150250;415500;"Empel";"Het Slot";"rural settlement";10;734;983
101;146725;414125;"Engelen";"De Beemd";"rural settlement";10;178;902
109;166850;425750;"Megen";"De Hoge Hof I";"rural settlement";10;966;1000
110;140190;449190;"Houten";"Molenzoom";"rural settlement, stone-built";10;971;981
114;148300;440000;"Beusichem";"Pietersteeg";"rural settlement";10;33;968
115;147760;440140;"Beusichem";"De Ronde";"rural settlement";10;1000;954
129;145470;431820;"Deil";"Hooiweg";"rural settlement";10;208;554
175;153970;435760;"Kerk-Avezaath";"Ambtsperk";"rural settlement; burial(s)?";10;563;978
181;165150;438150;"Lienden";"Boutenburg I";"rural settlement";10;987;1000
195;152005;427725;"Ophemert";"Kleine Mastmolen";"rural settlement";10;1000;1000
200;154550;428150;"Ophemert";"Kerkakkers";"rural settlement";10;999;164
237;149230;426520;"Opijnen";"Oude Zandstraat";"rural settlement; burial(s)";10;1000;1000
248;157710;435690;"Tiel";"De Start";"rural settlement";10;836;998
297;153630;432580;"Kapel-Avezaath";"Aldenhaaf";"rural settlement";10;783;991
298;154250;432950;"Kapel-Avezaath";"De Bulk";"rural settlement";10;839;998
310;156650;436270;"Zoelen";"Uiterdijk";"rural settlement";10;138;645
316;153090;428790;"Ophemert";"Hattelaar";"rural settlement";10;1000;1000
317;150930;429680;"Est";"Kurnheuvel";"rural settlement";10;999;1000
319;148300;430650;"Meteren";"Blankertseweg";"rural settlement";10;404;553
331;144910;426050;"Tuil";"Lindenhof";"rural settlement";10;1000;1000
332;140500;431550;"Rumpt";"De Worden";"rural settlement";10;1000;1000
338;143700;433850;"Enspijk";"Mariënwaard";"rural settlement";10;159;717
344;149630;432230;"Geldermalsen";"Hoge Weide";"rural settlement; bridge?";10;965;1000
351;147830;437250;"Buurmalsen";"Kruisstraat";"rural settlement";10;1000;1000
367;162650;435500;"Echteld";"Broedershof";"rural settlement";10;85;529
374;169600;437330;"Kesteren";"Hooge Veld";"rural settlement";10;382;875
383;168300;431750;"Puiflijk";"De Heuf I";"rural settlement";10;1000;1000
389;161820;432430;"Wamel";"Hoge Weg";"rural settlement";10;463;931
391;164100;426100;"Maasbommel";"Bergsestraat";"rural settlement";10;533;955
879;174850;436150;"Hien";"De Wuurdjes";"rural settlement, stone-built";10;1000;1000
