"LimesLimits_ID";"X_coordinate";"Y_coordinate";"Place";"Toponym";"Site_type";"Nb_finds";"Nb_runs_ROMVA";"Nb_runs_ROMVB"
10;182540;416940;"Gassel";"Provincialeweg";"rural settlement";10;987;1000
21;187500;416500;"Cuijk";"Heeswijkse Kampen I";"rural settlement; burial(s)";10;50;1000
25;182850;417250;"Gassel";"Overlaat";"rural settlement";10;562;939
33;173600;416800;"Schaijk";"Kleefsestraat";"rural settlement";10;1000;1000
35;172370;422570;"Ravenstein";"Burgemeester van der Wielstraat";"rural settlement";10;950;1000
39;170600;423900;"Deursen";"De Woerden";"rural settlement";10;285;706
43;167200;415200;"Nistelrode";"Vorssel I";"rural settlement";10;1000;1000
44;167550;415200;"Nistelrode";"Vorssel II";"rural settlement";10;102;581
45;168840;416120;"Schaijk";"Mun";"rural settlement";10;999;1000
47;165000;416800;"Heesch";"A59";"rural settlement";10;235;658
58;165100;420950;"Oss";"Horzak II";"rural settlement; burial(s)";10;850;999
59;165830;421100;"Oss";"IJsselstraat";"rural settlement";10;1000;1000
61;164500;420300;"Oss";"Eikenboomgaard";"rural settlement";10;1000;1000
63;169950;424050;"Deursen";"De Pas";"rural settlement";10;998;1000
67;169800;422650;"Deursen";"Avenduur";"rural settlement";10;765;972
70;167950;422050;"Berghem";"Lallenberg I";"rural settlement; burial(s)";10;680;843
76;165900;424050;"Macharen";"Dorp";"rural settlement";10;466;972
80;162750;424700;"Oijen";"Klootskamp I";"rural settlement; burial(s)?";10;888;958
95;150250;415500;"Empel";"Het Slot";"rural settlement";10;734;983
101;146725;414125;"Engelen";"De Beemd";"rural settlement";10;178;902
110;140190;449190;"Houten";"Molenzoom";"rural settlement, stone-built";10;971;981
114;148300;440000;"Beusichem";"Pietersteeg";"rural settlement";10;33;968
115;147760;440140;"Beusichem";"De Ronde";"rural settlement";10;1000;954
129;145470;431820;"Deil";"Hooiweg";"rural settlement";10;208;554
136;142780;431280;"Enspijk";"Oude Weische Blok";"rural settlement";10;795;984
138;152970;434340;"Erichem";"De Vinkenbuurt";"rural settlement";10;1000;1000
152;154780;433480;"Kapel-Avezaath";"Bergakker Noord";"rural settlement; burial(s)";10;883;999
155;154330;432580;"Kapel-Avezaath";"Hoge Hof";"rural settlement";10;862;996
163;154590;436160;"Kerk-Avezaath";"Korenbroek II";"rural settlement";10;605;958
175;153970;435760;"Kerk-Avezaath";"Ambtsperk";"rural settlement; burial(s)?";10;563;978
179;154110;434520;"Kerk-Avezaath";"Teisterband";"rural settlement";10;1000;1000
181;165150;438150;"Lienden";"Boutenburg I";"rural settlement";10;987;1000
195;152005;427725;"Ophemert";"Kleine Mastmolen";"rural settlement";10;1000;1000
248;157710;435690;"Tiel";"De Start";"rural settlement";10;836;998
255;153380;430830;"Wadenoijen";"Henigt";"rural settlement";10;638;965
285;157190;436560;"Zoelen";"De Meerboom";"rural settlement";10;651;964
291;156900;436250;"Zoelen";"Drumptselaan";"rural settlement";10;289;861
297;153630;432580;"Kapel-Avezaath";"Aldenhaaf";"rural settlement";10;783;991
298;154250;432950;"Kapel-Avezaath";"De Bulk";"rural settlement";10;839;998
310;156650;436270;"Zoelen";"Uiterdijk";"rural settlement";10;138;645
316;153090;428790;"Ophemert";"Hattelaar";"rural settlement";10;1000;1000
317;150930;429680;"Est";"Kurnheuvel";"rural settlement";10;999;1000
319;148300;430650;"Meteren";"Blankertseweg";"rural settlement";10;404;553
338;143700;433850;"Enspijk";"Mariënwaard";"rural settlement";10;159;717
339;145905;431795;"Deil";"Kijfakker";"rural settlement";10;938;1000
344;149630;432230;"Geldermalsen";"Hoge Weide";"rural settlement; bridge?";10;965;1000
351;147830;437250;"Buurmalsen";"Kruisstraat";"rural settlement";10;1000;1000
366;162910;436350;"Echteld";"Hoogbroek";"rural settlement";10;991;1000
367;162650;435500;"Echteld";"Broedershof";"rural settlement";10;85;529
374;169600;437330;"Kesteren";"Hooge Veld";"rural settlement";10;382;875
376;166700;436000;"Ochten";"Heuningstraat";"rural settlement";10;991;1000
382;168750;432050;"Puiflijk";"De Heuf II";"rural settlement";10;628;973
383;168300;431750;"Puiflijk";"De Heuf I";"rural settlement";10;1000;1000
389;161820;432430;"Wamel";"Hoge Weg";"rural settlement";10;463;931
391;164100;426100;"Maasbommel";"Bergsestraat";"rural settlement";10;533;955
879;174850;436150;"Hien";"De Wuurdjes";"rural settlement, stone-built";10;1000;1000
901;147240;423880;"Zaltbommel";"De Wildeman II";"rural settlement; burial(s)";10;1000;1000
902;146730;423480;"Zaltbommel";"De Wildeman III";"rural settlement";10;1000;1000
904;147410;423140;"Zaltbommel";"De Wildeman V";"rural settlement";10;981;998
1004;175250;440200;"Randwijk";"Hokkerden";"rural settlement";10;687;955
1009;135600;417300;"Wijk en Aalburg";"De Meer";"rural settlement";10;0;1000
410;168450;428650;"Appeltern";"Noordzuidweg";"rural settlement";10;449;914
419;143100;445400;"Schalkwijk";"Goyerdijk III";"rural settlement";10;999;1000
420;146260;443840;"Schalkwijk";"Den Oord";"rural settlement";10;998;1000
430;147360;445360;"Cothen";"Smidsdijk II";"rural settlement";10;905;997
437;144250;445950;"'t Goy";"Sportveld";"rural settlement";10;719;966
439;143750;446270;"'t Goy";"Tuurdijk II";"rural settlement";10;637;959
451;141220;446540;"Houten";"De Trip";"rural settlement";10;973;1000
461;140770;449810;"Houten";"Odijkerweg";"rural settlement";10;138;557
465;143180;449500;"Werkhoven";"Achterdijk";"rural settlement";10;643;946
466;143780;448540;"Werkhoven";"Oostromsedijkje-Noord";"rural settlement";10;658;1000
469;144920;447330;"Werkhoven";"Hollende Wagen I";"rural settlement";10;118;633
472;140900;442900;"Schalkwijk";"Achterdijk II";"rural settlement; pottery kiln(s)";10;993;1000
473;141580;442400;"Schalkwijk";"Noorder Lekdijk";"rural settlement";10;991;1000
477;142740;442780;"Schalkwijk";"Pothuizerweg III";"rural settlement";10;162;798
484;145340;440700;"Culemborg";"Voorkoop";"rural settlement";10;227;658
485;146300;438650;"Beusichem";"Hooge Voorkoop I";"rural settlement";10;1000;1000
489;141700;451100;"Odijk";"Rietsloot";"rural settlement";10;241;746
490;142400;450300;"Odijk";"Houtenseweg I";"rural settlement";10;756;997
495;143745;451840;"Odijk";"Schoudermantel";"rural settlement";10;946;1000
496;141950;452030;"Bunnik";"Groeneweg / Achterdijk";"rural settlement";10;1000;1000
509;137410;450330;"Houten";"Langeweg";"rural settlement; road?";10;861;999
510;136900;450500;"Laagraven";"Koppelveld";"rural settlement";10;542;934
511;136920;449900;"Laagraven";"Heemsteedse Weg";"rural settlement";10;994;1000
516;139700;448560;"Houten";"Julianaweg";"rural settlement";10;845;998
524;150100;444550;"Cothen";"Wilhelminahoeve";"rural settlement";10;1000;1000
