"LimesLimits_ID";"X_coordinate";"Y_coordinate";"Place";"Toponym";"Site_type";"Nb_finds";"Nb_runs_ROMVA";"Nb_runs_ROMVB"
3;178540;418540;"Grave";"De Zittert";"rural settlement";10;516;829
6;179950;416600;"Escharen";"Rotseweg";"rural settlement";10;317;514
7;179880;415860;"Escharen";"Hoogeburgt";"rural settlement";10;93;605
18;188265;415195;"Cuijk";"Het Riet";"rural settlement; burial(s)";10;1000;1000
20;185500;415500;"Beers";"Kerkeveld";"rural settlement";10;934;979
37;171650;423750;"Deursen";"Het Steenwerk";"rural settlement; burial(s)";10;999;993
40;170100;422950;"Deursen";"Onze Lieve Vrouwenberg";"rural settlement";10;630;718
42;174600;422100;"Neerloon";"Kalfsheuvel";"rural settlement";10;776;851
49;161950;413280;"Vinkel";"Munnekens";"rural settlement";10;1000;1000
50;160850;413050;"Vinkel";"Sportpark";"rural settlement";10;990;993
54;163050;420220;"Oss";"Westerveld";"rural settlement";10;1000;1000
60;163660;420220;"Oss";"Zaltbommelseweg";"rural settlement";10;1000;1000
69;168550;422800;"Haren";"Spaanse Steeg";"rural settlement; cult site?";10;1000;1000
72;167650;422700;"Berghem";"In het Broek";"rural settlement";10;1000;1000
74;166800;423050;"Berghem";"Het Winkel";"rural settlement";10;990;997
75;166150;423400;"Macharen";"Harense Broek I";"rural settlement";10;414;824
77;165150;423100;"Macharen";"Hoogoord";"rural settlement";10;994;994
79;163100;424550;"Oijen";"De Lange Maaijen";"rural settlement";10;998;1000
82;162500;423350;"Teeffelen";"De Honig";"rural settlement; burial(s)?";10;1000;1000
83;162750;422600;"Teeffelen";"Weteringstraat";"rural settlement";10;987;1000
86;161850;422500;"Teeffelen";"De Kampen";"rural settlement";10;1000;1000
96;149860;415420;"Empel";"De Schaapskooi";"rural settlement";10;933;993
99;148300;415500;"'s-Hertogenbosch";"Maaspoort";"rural settlement";10;157;548
102;158250;422800;"Lith";"Tussen de Stegen";"rural settlement";10;915;999
104;159150;423500;"Lith";"Valkse Weg";"rural settlement";10;536;704
109;166850;425750;"Megen";"De Hoge Hof I";"rural settlement";10;220;506
111;139500;448750;"Houten";"Burgemeester Wallerweg";"rural settlement, stone-built; burial(s)";10;1000;1000
112;139130;448760;"Houten";"Tiellandt";"rural settlement; burial(s)";10;983;1000
113;138190;449200;"Houten";"Wulven";"rural settlement, stone-built?; burial(s)";10;1000;1000
118;153450;435400;"Erichem";"Hooge Korn";"rural settlement";10;1000;1000
120;152150;435935;"Buren";"De Blooten";"rural settlement";10;884;951
122;150150;435950;"Buren";"Hennisdijk";"rural settlement";10;1000;1000
131;160950;436120;"Echteld";"De Wilmert I";"rural settlement";10;1000;1000
132;160200;436150;"Echteld";"Oude Weiden";"rural settlement, stone-built";10;1000;1000
134;159480;435680;"Medel";"Rotonde";"rural settlement, stone-built?";10;1000;1000
142;150200;429500;"Est";"Rondweg";"rural settlement";10;1000;1000
150;147850;432150;"Geldermalsen";"Binnenveld";"rural settlement";10;1000;1000
187;158950;440500;"Maurik";"Zwarte Paard";"rural settlement";10;867;981
192;162450;439400;"Ommeren";"De Eng";"rural settlement";10;1000;1000
193;160900;437400;"Ommeren";"Blauwe Kamp";"rural settlement";10;1000;1000
198;152370;427890;"Ophemert";"Wilhelminahoeve";"rural settlement";10;745;968
200;154550;428150;"Ophemert";"Kerkakkers";"rural settlement";10;0;674
206;153780;428350;"Ophemert";"Veelust";"rural settlement";10;1000;1000
210;151100;427750;"Ophemert";"Elzevier";"rural settlement";10;996;1000
229;152320;427250;"Opijnen";"Westerbroek";"rural settlement";10;993;1000
237;149230;426520;"Opijnen";"Oude Zandstraat";"rural settlement; burial(s)";10;1000;1000
240;155650;431450;"Tiel";"Oude Tielseweg";"rural settlement";10;1000;1000
241;156750;431050;"Tiel";"Hogeweg-Zennewijnenseweg";"rural settlement";10;406;745
242;157620;431560;"Tiel";"Uiterwaard I";"rural settlement";10;922;996
244;156100;431000;"Tiel";"Passewaaijse Hogeweg I";"rural settlement";10;1000;1000
245;154180;440870;"Rijswijk";"Woerdstraat";"rural settlement; burial(s)?";10;999;1000
253;146670;428140;"Waardenburg";"De Woerden";"rural settlement; burial(s)?";10;1000;1000
258;152200;430450;"Wadenoijen";"Breeuwert";"rural settlement";10;999;1000
261;153900;430400;"Wadenoijen";"Ouweling";"rural settlement";10;1000;1000
273;159600;437530;"Zoelen";"De Hevel";"rural settlement";10;884;988
282;156400;436180;"Zoelen";"Vergarde";"rural settlement; burial(s)";10;1000;1000
299;154420;433250;"Kapel-Avezaath";"Bergakker";"rural settlement; cult site?";10;1000;1000
307;150490;436700;"Buren";"Hofkamp I";"rural settlement";10;677;830
308;154330;436330;"Zoelen";"Nije Graaf";"rural settlement";10;1000;1000
315;156190;429850;"Zennewijnen";"Hoogekamp";"rural settlement, stone-built";10;825;967
321;149650;430100;"Est";"Rijs en Ooyen";"rural settlement; cult site?";10;1000;1000
323;148950;428600;"Est";"Snelleveld";"rural settlement; burial(s)?";10;1000;1000
324;148100;428750;"Waardenburg";"Snelleveld";"rural settlement";10;1000;1000
325;148200;428400;"Neerijnen";"Hoge Tieflaar I";"rural settlement";10;520;934
326;142020;430280;"Gellicum";"Boutenstein I";"rural settlement; burial(s)?";10;238;510
327;147900;428350;"Neerijnen";"Hoge Tieflaar II";"rural settlement";10;993;999
328;147500;428180;"Neerijnen";"Hoge Tieflaar III";"rural settlement";10;1000;1000
329;148020;427970;"Neerijnen";"Hoge Tieflaar IV";"rural settlement";10;572;751
330;147800;428000;"Neerijnen";"Hoge Tieflaar V";"rural settlement";10;982;997
331;144910;426050;"Tuil";"Lindenhof";"rural settlement";10;1000;1000
332;140500;431550;"Rumpt";"De Worden";"rural settlement";10;1000;1000
333;143105;431765;"Deil";"Panweg";"rural settlement";10;1000;1000
335;145050;431810;"Deil";"Hooiblok";"rural settlement; cult place?";10;1000;1000
336;140645;434085;"Rumpt";"Betuwestrand";"rural settlement";10;993;1000
337;144340;432070;"Deil";"Oude Winkel";"rural settlement";10;976;1000
341;147900;431870;"Geldermalsen";"Provincialeweg Oost";"rural settlement";10;432;581
342;147400;432100;"Geldermalsen";"Industrieweg";"rural settlement";10;1000;1000
348;146450;435630;"Tricht";"Oude Hoeven";"rural settlement";10;805;945
349;149500;435100;"Buurmalsen";"Nieuwe Steeg";"rural settlement";10;983;999
356;161120;437100;"Lienden";"Linge";"rural settlement";10;705;894
357;160790;436900;"Echteld";"Linge";"rural settlement";10;799;933
358;161000;436600;"Echteld";"De Wilmert II";"rural settlement";10;1000;1000
360;160400;435725;"Medel";"Ooijsche Wetering";"rural settlement; burial(s)";10;1000;1000
365;161300;435450;"Echteld";"Westering";"rural settlement";10;912;985
368;163500;435380;"Echteld";"Den Hul";"rural settlement; burial(s)";10;544;758
369;164950;435700;"IJzendoorn";"Het Hof";"rural settlement; cult site?";10;1000;1000
370;166570;436830;"Kesteren";"Woonwagenkamp";"rural settlement";10;1000;1000
372;167200;436850;"Kesteren";"De Woerd";"rural settlement, stone-built?";10;1000;1000
373;168150;437450;"Kesteren";"Peppelenwoerd";"rural settlement";10;1000;1000
392;164520;427640;"Maasbommel";"Den Hoedweg I";"rural settlement";10;1000;1000
396;164550;428920;"Woerd";"Honselaars";"rural settlement";10;490;721
416;140600;445600;"Schalkwijk";"Polder Vuylkoop";"rural settlement";10;970;995
417;141720;446000;"Schalkwijk";"Polder Biester";"rural settlement";10;461;595
421;145650;444000;"Schalkwijk";"Goyerbrug";"rural settlement; road?";10;1000;1000
422;146455;444445;"Cothen";"De Zemelen";"rural settlement, stone-built; burial(s)";10;1000;1000
423;147000;444670;"Cothen";"Kapelleweg I";"rural settlement";10;996;1000
424;147566;444502;"Cothen";"Kapelleweg II";"rural settlement";10;999;1000
425;148650;444100;"Cothen";"De Spiegel";"rural settlement";10;1000;1000
426;149432;444520;"Cothen";"De Dom I";"rural settlement";10;1000;1000
427;149046;444985;"Cothen";"Bredeweg";"rural settlement";10;701;886
429;147635;445815;"Cothen";"De Hoop";"rural settlement";10;775;931
431;148037;444965;"Cothen";"Dwarsdijk I";"rural settlement";10;1000;1000
436;144400;445270;"'t Goy";"De Hoogt";"rural settlement";10;610;752
438;144750;445900;"'t Goy";"Tuurdijk I";"rural settlement, stone-built";10;999;1000
440;143300;445950;"'t Goy";"Groenedijkje / Beusichemseweg I";"rural settlement; burial(s)?";10;1000;1000
442;142400;446300;"'t Goy";"Wickenburgseweg II";"rural settlement";10;1000;1000
443;142640;446500;"'t Goy";"Wickenburgseweg III";"rural settlement";10;1000;1000
445;141960;446780;"Houten";"Hoogdijk I";"rural settlement";10;511;673
448;141700;446800;"Houten";"Schalkwijkseweg terrein 14 I";"rural settlement";10;1000;1000
453;141200;446900;"Houten";"Schalkwijkseweg terrein 14 III";"rural settlement; burial(s)";10;1000;1000
454;140830;447720;"Houten";"Leeweg";"rural settlement";10;1000;1000
455;140875;447125;"Houten";"Hofstad terrein 16";"rural settlement";10;1000;66
458;141240;448200;"Houten";"Binnenweg terrein 21/22";"rural settlement; burial(s)";10;1000;1000
462;141200;448640;"Houten";"Loerik terrein 6";"rural settlement";10;971;997
467;142850;447950;"Werkhoven";"Oostromsedijkje-Zuid";"rural settlement";10;899;988
468;144600;448450;"Werkhoven";"De Klaproos";"rural settlement; watchtower?";10;1000;1000
