obsolete;LimesLimits_ID;Site_type;Start_period;End_period;Nb_CER_BM;Nb_TILES;Nb_NONCER_BM;Nb_MORTAR;Nb_HEATING;Nb_DECOR;Nb_WINDOW;TOTAL FINDS;TOTAL_CER_BM;TOTAL_NONCER_BM;TOTAL_LUXURY_BM;P_CER_BM;P_TILES;P_NONCER_BM;P_MORTAR;P_HEATING;P_DECOR_P;P_WINDOW;P_NO_BM;P_CER_BM;P_NONCER_BM;P_LUXURY_BM;BM_GROUP
FALSE;1;rural settlement;ROMV;ROMM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;2;rural settlement;ROMM;ROML;0;1;1;0;1;0;0;3;1;1;1;0;1;1;0;1;0;0;0;0;0;1;4
FALSE;3;rural settlement;ROMV;ROMM;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2
FALSE;4;"rural settlement; burial(s)";IJZL;ROMM;1;2;0;0;0;0;0;3;3;0;0;1;1;0;0;0;0;0;0;1;0;0;2
FALSE;6;rural settlement;ROMM;ROMM;0;0;2;0;0;0;0;2;0;2;0;0;0;1;0;0;0;0;0;0;1;0;3
FALSE;7;rural settlement;ROMVB;ROMMB;0;2;1;0;0;0;0;3;2;1;0;0;1;1;0;0;0;0;0;0;1;0;3
FALSE;8;deposit?;ROMM;ROMLA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;9;road?;ROM;ROM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;10;rural settlement;ROMMA;ROMMB;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2
FALSE;12;"civil settlement; military settlement?; road";ROMV;ROMM;8;18;16;2;4;2;1;51;26;18;7;1;1;1;1;1;1;1;0;0;0;1;4
FALSE;13;castellum;ROMLA;ROMLB;1;3;7;1;0;1;0;13;4;8;1;1;1;1;1;0;1;0;0;0;0;1;4
FALSE;14;bridge;ROMLB;ROMLB;0;2;5;0;0;0;0;7;2;5;0;0;1;1;0;0;0;0;0;0;1;0;3
FALSE;15;"burial(s); road";ROMVB;ROMMB;1;3;0;0;0;0;0;4;4;0;0;1;1;0;0;0;0;0;0;1;0;0;2
FALSE;18;"rural settlement; burial(s)";ROMM;ROML;0;4;0;0;0;0;0;4;4;0;0;0;1;0;0;0;0;0;0;1;0;0;2
FALSE;20;rural settlement;ROM;ROM;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2
FALSE;21;"rural settlement; burial(s)";ROMMA;ROMMB;0;5;3;0;1;1;0;10;5;3;2;0;1;1;0;1;1;0;0;0;0;1;4
FALSE;22;burial(s);ROMVA;ROMMB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;23;burial(s);ROMM;ROMM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;24;rural settlement?;IJZL;ROMM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;25;rural settlement;IJZL;ROMM;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2
FALSE;27;burial(s);ROMV;ROML;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;28;burial(s)?;ROMMA;ROMMB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;29;road?;ROM;ROM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;30;burial(s);ROMV;ROMM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;31;rural settlement;ROMV;ROMM;1;2;0;0;0;0;0;3;3;0;0;1;1;0;0;0;0;0;0;1;0;0;2
