"LimesLimits_ID_1";"Site_type";"X_coordinate_1";"Y_coordinate_1";"HCLASS_1";"LimesLimits_ID_2";"HCLASS_2";"X_coordinate_2";"Y_coordinate_2";"Distance"
1;"rural settlement";179520;417600;3.00;3.00;5.00;178540;418540;1357.93
1;"rural settlement";179520;417600;3.00;4.00;5.00;180500;417500;985.08
1;"rural settlement";179520;417600;3.00;6.00;6.00;179950;416600;1088.53
2;"rural settlement";182200;417225;7.00;10.00;5.00;182540;416940;443.64
2;"rural settlement";182200;417225;7.00;25.00;5.00;182850;417250;650.48
3;"rural settlement";178540;418540;5.00;1.00;3.00;179520;417600;1357.93
4;"rural settlement; burial(s)";180500;417500;5.00;1.00;3.00;179520;417600;985.08
4;"rural settlement; burial(s)";180500;417500;5.00;6.00;6.00;179950;416600;1054.75
6;"rural settlement";179950;416600;6.00;7.00;6.00;179880;415860;743.30
6;"rural settlement";179950;416600;6.00;4.00;5.00;180500;417500;1054.75
6;"rural settlement";179950;416600;6.00;1.00;3.00;179520;417600;1088.53
7;"rural settlement";179880;415860;6.00;6.00;6.00;179950;416600;743.30
10;"rural settlement";182540;416940;5.00;2.00;7.00;182200;417225;443.64
10;"rural settlement";182540;416940;5.00;25.00;5.00;182850;417250;438.40
10;"rural settlement";182540;416940;5.00;24.00;4.00;183800;416300;1413.22
12;"civil settlement; military settlement?; road";189250;415750;8.00;2117.00;6.00;187788;415962;1477.29
12;"civil settlement; military settlement?; road";189250;415750;8.00;1111.00;6.00;190600;416100;1394.63
12;"civil settlement; military settlement?; road";189250;415750;8.00;18.00;5.00;188265;415195;1130.59
13;"castellum";189250;415750;9.00;1111.00;6.00;190600;416100;1394.63
13;"castellum";189250;415750;9.00;2117.00;6.00;187788;415962;1477.29
13;"castellum";189250;415750;9.00;18.00;5.00;188265;415195;1130.59
18;"rural settlement; burial(s)";188265;415195;5.00;2117.00;6.00;187788;415962;903.22
18;"rural settlement; burial(s)";188265;415195;5.00;12.00;8.00;189250;415750;1130.59
18;"rural settlement; burial(s)";188265;415195;5.00;1168.00;7.00;187350;416050;1252.29
18;"rural settlement; burial(s)";188265;415195;5.00;13.00;9.00;189250;415750;1130.59
20;"rural settlement";185500;415500;5.00;2116.00;4.00;185150;415460;352.27
21;"rural settlement; burial(s)";187500;416500;7.00;2115.00;1.00;186240;417040;1370.83
21;"rural settlement; burial(s)";187500;416500;7.00;2117.00;6.00;187788;415962;610.23
21;"rural settlement; burial(s)";187500;416500;7.00;1166.00;1.00;187625;417450;958.18
21;"rural settlement; burial(s)";187500;416500;7.00;1168.00;7.00;187350;416050;474.34
24;"rural settlement?";183800;416300;4.00;10.00;5.00;182540;416940;1413.22
24;"rural settlement?";183800;416300;4.00;25.00;5.00;182850;417250;1343.50
25;"rural settlement";182850;417250;5.00;2.00;7.00;182200;417225;650.48
25;"rural settlement";182850;417250;5.00;10.00;5.00;182540;416940;438.40
25;"rural settlement";182850;417250;5.00;24.00;4.00;183800;416300;1343.50
33;"rural settlement";173600;416800;6.00;34.00;3.00;174100;416850;502.49
34;"rural settlement";174100;416850;3.00;33.00;6.00;173600;416800;502.49
35;"rural settlement";172370;422570;4.00;36.00;1.00;172800;423450;979.43
35;"rural settlement";172370;422570;4.00;37.00;5.00;171650;423750;1382.31
36;"rural settlement";172800;423450;1.00;35.00;4.00;172370;422570;979.43
36;"rural settlement";172800;423450;1.00;37.00;5.00;171650;423750;1188.48
37;"rural settlement; burial(s)";171650;423750;5.00;35.00;4.00;172370;422570;1382.31
37;"rural settlement; burial(s)";171650;423750;5.00;38.00;3.00;170950;423850;707.10
37;"rural settlement; burial(s)";171650;423750;5.00;36.00;1.00;172800;423450;1188.48
37;"rural settlement; burial(s)";171650;423750;5.00;39.00;2.00;170600;423900;1060.66
38;"rural settlement";170950;423850;3.00;63.00;3.00;169950;424050;1019.80
38;"rural settlement";170950;423850;3.00;37.00;5.00;171650;423750;707.10
38;"rural settlement";170950;423850;3.00;40.00;5.00;170100;422950;1237.94
38;"rural settlement";170950;423850;3.00;39.00;2.00;170600;423900;353.55
39;"rural settlement";170600;423900;2.00;63.00;3.00;169950;424050;667.08
39;"rural settlement";170600;423900;2.00;40.00;5.00;170100;422950;1073.54
39;"rural settlement";170600;423900;2.00;67.00;5.00;169800;422650;1484.08
39;"rural settlement";170600;423900;2.00;38.00;3.00;170950;423850;353.55
39;"rural settlement";170600;423900;2.00;37.00;5.00;171650;423750;1060.66
40;"rural settlement";170100;422950;5.00;67.00;5.00;169800;422650;424.26
40;"rural settlement";170100;422950;5.00;38.00;3.00;170950;423850;1237.94
40;"rural settlement";170100;422950;5.00;39.00;2.00;170600;423900;1073.54
40;"rural settlement";170100;422950;5.00;63.00;3.00;169950;424050;1110.18
40;"rural settlement";170100;422950;5.00;68.00;4.00;169500;422400;813.94
40;"rural settlement";170100;422950;5.00;41.00;1.00;170450;422400;651.92
40;"rural settlement";170100;422950;5.00;65.00;2.00;168760;423440;1426.77
41;"rural settlement";170450;422400;1.00;67.00;5.00;169800;422650;696.41
41;"rural settlement";170450;422400;1.00;91.00;2.00;169900;421100;1411.55
41;"rural settlement";170450;422400;1.00;68.00;4.00;169500;422400;950.00
41;"rural settlement";170450;422400;1.00;40.00;5.00;170100;422950;651.92
42;"rural settlement";174600;422100;2.00;2156.00;2.00;174540;420940;1161.55
42;"rural settlement";174600;422100;2.00;2157.00;1.00;174100;420750;1439.61
43;"rural settlement";167200;415200;4.00;44.00;4.00;167550;415200;350.00
44;"rural settlement";167550;415200;4.00;43.00;4.00;167200;415200;350.00
45;"rural settlement";168840;416120;4.00;2155.00;3.00;169300;416080;461.73
47;"rural settlement";165000;416800;3.00;48.00;5.00;163600;416600;1414.21
47;"rural settlement";165000;416800;3.00;2169.00;2.00;164000;416950;1011.18
48;"rural settlement";163600;416600;5.00;2169.00;2.00;164000;416950;531.50
48;"rural settlement";163600;416600;5.00;47.00;3.00;165000;416800;1414.21
49;"rural settlement";161950;413280;4.00;50.00;4.00;160850;413050;1123.78
50;"rural settlement";160850;413050;4.00;49.00;4.00;161950;413280;1123.78
52;"rural settlement";162480;420060;3.00;54.00;6.00;163050;420220;592.03
52;"rural settlement";162480;420060;3.00;60.00;2.00;163660;420220;1190.79
52;"rural settlement";162480;420060;3.00;55.00;1.00;163350;420800;1142.14
52;"rural settlement";162480;420060;3.00;53.00;1.00;162360;419300;769.41
53;"rural settlement";162360;419300;1.00;52.00;3.00;162480;420060;769.41
53;"rural settlement";162360;419300;1.00;54.00;6.00;163050;420220;1150.00
54;"rural settlement";163050;420220;6.00;55.00;1.00;163350;420800;652.99
54;"rural settlement";163050;420220;6.00;52.00;3.00;162480;420060;592.03
54;"rural settlement";163050;420220;6.00;53.00;1.00;162360;419300;1150.00
54;"rural settlement";163050;420220;6.00;60.00;2.00;163660;420220;610.00
54;"rural settlement";163050;420220;6.00;61.00;5.00;164500;420300;1452.20
55;"rural settlement";163350;420800;1.00;52.00;3.00;162480;420060;1142.14
55;"rural settlement";163350;420800;1.00;54.00;6.00;163050;420220;652.99
55;"rural settlement";163350;420800;1.00;60.00;2.00;163660;420220;657.64
55;"rural settlement";163350;420800;1.00;57.00;4.00;164740;420780;1390.14
55;"rural settlement";163350;420800;1.00;61.00;5.00;164500;420300;1253.99
57;"rural settlement";164740;420780;4.00;55.00;1.00;163350;420800;1390.14
57;"rural settlement";164740;420780;4.00;60.00;2.00;163660;420220;1216.55
57;"rural settlement";164740;420780;4.00;58.00;3.00;165100;420950;398.12
57;"rural settlement";164740;420780;4.00;61.00;5.00;164500;420300;536.65
57;"rural settlement";164740;420780;4.00;59.00;4.00;165830;421100;1136.00
58;"rural settlement; burial(s)";165100;420950;3.00;61.00;5.00;164500;420300;884.59
58;"rural settlement; burial(s)";165100;420950;3.00;57.00;4.00;164740;420780;398.12
58;"rural settlement; burial(s)";165100;420950;3.00;59.00;4.00;165830;421100;745.25
58;"rural settlement; burial(s)";165100;420950;3.00;1169.00;3.00;166494;420911;1394.54
59;"rural settlement";165830;421100;4.00;1169.00;3.00;166494;420911;690.37
59;"rural settlement";165830;421100;4.00;57.00;4.00;164740;420780;1136.00
59;"rural settlement";165830;421100;4.00;58.00;3.00;165100;420950;745.25
59;"rural settlement";165830;421100;4.00;1170.00;4.00;167034;421597;1302.54
60;"rural settlement";163660;420220;2.00;52.00;3.00;162480;420060;1190.79
60;"rural settlement";163660;420220;2.00;54.00;6.00;163050;420220;610.00
60;"rural settlement";163660;420220;2.00;57.00;4.00;164740;420780;1216.55
60;"rural settlement";163660;420220;2.00;55.00;1.00;163350;420800;657.64
60;"rural settlement";163660;420220;2.00;61.00;5.00;164500;420300;843.80
61;"rural settlement";164500;420300;5.00;57.00;4.00;164740;420780;536.65
61;"rural settlement";164500;420300;5.00;54.00;6.00;163050;420220;1452.20
61;"rural settlement";164500;420300;5.00;55.00;1.00;163350;420800;1253.99
61;"rural settlement";164500;420300;5.00;58.00;3.00;165100;420950;884.59
61;"rural settlement";164500;420300;5.00;60.00;2.00;163660;420220;843.80
63;"rural settlement";169950;424050;3.00;38.00;3.00;170950;423850;1019.80
63;"rural settlement";169950;424050;3.00;65.00;2.00;168760;423440;1337.23
63;"rural settlement";169950;424050;3.00;40.00;5.00;170100;422950;1110.18
63;"rural settlement";169950;424050;3.00;67.00;5.00;169800;422650;1408.01
63;"rural settlement";169950;424050;3.00;39.00;2.00;170600;423900;667.08
65;"rural settlement";168760;423440;2.00;40.00;5.00;170100;422950;1426.77
65;"rural settlement";168760;423440;2.00;69.00;3.00;168550;422800;673.57
65;"rural settlement";168760;423440;2.00;67.00;5.00;169800;422650;1306.02
65;"rural settlement";168760;423440;2.00;72.00;5.00;167650;422700;1334.05
65;"rural settlement";168760;423440;2.00;66.00;1.00;168180;423760;662.41
65;"rural settlement";168760;423440;2.00;63.00;3.00;169950;424050;1337.23
65;"rural settlement";168760;423440;2.00;68.00;4.00;169500;422400;1276.40
66;"rural settlement";168180;423760;1.00;65.00;2.00;168760;423440;662.41
66;"rural settlement";168180;423760;1.00;69.00;3.00;168550;422800;1028.83
66;"rural settlement";168180;423760;1.00;73.00;3.00;167250;422800;1336.60
66;"rural settlement";168180;423760;1.00;72.00;5.00;167650;422700;1185.11
67;"rural settlement";169800;422650;5.00;90.00;3.00;169000;421900;1096.58
67;"rural settlement";169800;422650;5.00;65.00;2.00;168760;423440;1306.02
67;"rural settlement";169800;422650;5.00;68.00;4.00;169500;422400;390.51
67;"rural settlement";169800;422650;5.00;69.00;3.00;168550;422800;1258.96
67;"rural settlement";169800;422650;5.00;63.00;3.00;169950;424050;1408.01
67;"rural settlement";169800;422650;5.00;41.00;1.00;170450;422400;696.41
67;"rural settlement";169800;422650;5.00;39.00;2.00;170600;423900;1484.08
67;"rural settlement";169800;422650;5.00;40.00;5.00;170100;422950;424.26
68;"rural settlement?";169500;422400;4.00;90.00;3.00;169000;421900;707.10
68;"rural settlement?";169500;422400;4.00;41.00;1.00;170450;422400;950.00
68;"rural settlement?";169500;422400;4.00;69.00;3.00;168550;422800;1030.77
68;"rural settlement?";169500;422400;4.00;91.00;2.00;169900;421100;1360.14
68;"rural settlement?";169500;422400;4.00;40.00;5.00;170100;422950;813.94
68;"rural settlement?";169500;422400;4.00;67.00;5.00;169800;422650;390.51
68;"rural settlement?";169500;422400;4.00;65.00;2.00;168760;423440;1276.40
69;"rural settlement; cult site?";168550;422800;3.00;68.00;4.00;169500;422400;1030.77
69;"rural settlement; cult site?";168550;422800;3.00;67.00;5.00;169800;422650;1258.96
69;"rural settlement; cult site?";168550;422800;3.00;66.00;1.00;168180;423760;1028.83
69;"rural settlement; cult site?";168550;422800;3.00;73.00;3.00;167250;422800;1300.00
69;"rural settlement; cult site?";168550;422800;3.00;90.00;3.00;169000;421900;1006.23
69;"rural settlement; cult site?";168550;422800;3.00;72.00;5.00;167650;422700;905.53
69;"rural settlement; cult site?";168550;422800;3.00;70.00;4.00;167950;422050;960.46
69;"rural settlement; cult site?";168550;422800;3.00;65.00;2.00;168760;423440;673.57
70;"rural settlement; burial(s)";167950;422050;4.00;1170.00;4.00;167034;421597;1021.89
70;"rural settlement; burial(s)";167950;422050;4.00;90.00;3.00;169000;421900;1060.66
70;"rural settlement; burial(s)";167950;422050;4.00;73.00;3.00;167250;422800;1025.91
70;"rural settlement; burial(s)";167950;422050;4.00;69.00;3.00;168550;422800;960.46
70;"rural settlement; burial(s)";167950;422050;4.00;72.00;5.00;167650;422700;715.89
72;"rural settlement";167650;422700;5.00;69.00;3.00;168550;422800;905.53
72;"rural settlement";167650;422700;5.00;70.00;4.00;167950;422050;715.89
72;"rural settlement";167650;422700;5.00;2165.00;2.00;166459;423271;1320.80
72;"rural settlement";167650;422700;5.00;74.00;4.00;166800;423050;919.23
72;"rural settlement";167650;422700;5.00;1170.00;4.00;167034;421597;1263.35
72;"rural settlement";167650;422700;5.00;66.00;1.00;168180;423760;1185.11
72;"rural settlement";167650;422700;5.00;73.00;3.00;167250;422800;412.31
72;"rural settlement";167650;422700;5.00;65.00;2.00;168760;423440;1334.05
73;"rural settlement";167250;422800;3.00;2164.00;1.00;166445;423754;1248.25
73;"rural settlement";167250;422800;3.00;75.00;7.00;166150;423400;1252.99
73;"rural settlement";167250;422800;3.00;74.00;4.00;166800;423050;514.78
73;"rural settlement";167250;422800;3.00;66.00;1.00;168180;423760;1336.60
73;"rural settlement";167250;422800;3.00;72.00;5.00;167650;422700;412.31
73;"rural settlement";167250;422800;3.00;1170.00;4.00;167034;421597;1222.23
73;"rural settlement";167250;422800;3.00;2165.00;2.00;166459;423271;920.60
73;"rural settlement";167250;422800;3.00;70.00;4.00;167950;422050;1025.91
73;"rural settlement";167250;422800;3.00;69.00;3.00;168550;422800;1300.00
