LimesLimits_ID;Site_type;BM_GROUP;IMP_GROUP;DIV_AWG;DUR_GROUP;HOUSE_GROUP;HCLASS
1;rural settlement;1;6;3;0;2;3
2;rural settlement;4;6;4;0;0;7
3;rural settlement;2;7;5;2;0;5
4;"rural settlement; burial(s)";2;7;4;1;0;5
6;rural settlement;3;7;3;1;0;6
7;rural settlement;3;7;3;1;0;6
8;deposit?;1;4;1;0;0;
9;road?;1;1;0;0;0;
10;rural settlement;2;6;1;0;0;5
12;"civil settlement; military settlement?; road";4;7;5;4;0;
13;castellum;4;6;3;1;0;
14;bridge;3;4;1;1;0;
15;"burial(s); road";2;6;4;3;0;
18;"rural settlement; burial(s)";2;6;3;0;0;5
20;rural settlement;2;6;3;0;0;5
21;"rural settlement; burial(s)";4;6;3;1;1;7
22;burial(s);1;6;4;0;0;
23;burial(s);1;6;3;0;0;
24;rural settlement?;1;7;4;0;0;4
25;rural settlement;2;7;2;0;2;5
27;burial(s);1;6;2;0;0;
28;burial(s)?;1;6;3;1;0;
29;road?;1;1;0;0;0;
30;burial(s);1;7;4;0;0;
31;rural settlement;2;7;3;0;0;5
32;burial(s);1;7;5;1;0;
33;rural settlement;3;6;4;2;0;6
34;rural settlement;1;5;3;0;0;3
35;rural settlement;1;7;4;1;0;4
36;rural settlement;1;2;1;0;0;1
37;"rural settlement; burial(s)";2;6;4;1;0;5
38;rural settlement;1;6;4;0;0;3
39;rural settlement;1;3;2;0;0;2
40;rural settlement;2;7;5;0;0;5
41;rural settlement;1;2;1;0;0;1
42;rural settlement;2;3;2;0;0;2
43;rural settlement;1;7;5;1;0;4
44;rural settlement;1;7;4;0;0;4
45;rural settlement;1;7;4;0;0;4
47;rural settlement;1;6;4;0;0;3
48;rural settlement;2;7;5;1;0;5
49;rural settlement;1;7;3;3;0;4
50;rural settlement;1;7;4;0;0;4
51;burial(s)?;1;4;2;0;0;
52;rural settlement;1;6;1;0;4;3
53;rural settlement;1;1;0;0;0;1
54;rural settlement;3;3;2;3;5;6
55;rural settlement;1;2;1;1;3;1
56;burial(s);1;5;1;3;0;
57;rural settlement;1;7;2;0;0;4
58;"rural settlement; burial(s)";1;5;2;1;0;3
59;rural settlement;1;7;4;1;4;4
60;rural settlement;1;3;2;2;3;2
61;rural settlement;2;6;4;2;0;5
63;rural settlement;1;5;3;0;0;3
65;rural settlement;1;4;2;0;0;2
66;rural settlement;1;2;1;0;0;1
67;rural settlement;2;5;3;0;0;5
68;rural settlement?;1;7;1;0;0;4
69;"rural settlement; cult site?";1;6;2;2;0;3
70;"rural settlement; burial(s)";1;7;5;0;0;4
72;rural settlement;2;6;4;2;0;5
73;rural settlement;1;5;2;0;0;3
74;rural settlement;1;7;3;2;0;4
75;rural settlement;4;7;5;3;0;7
76;rural settlement;1;4;2;1;0;2
77;rural settlement;1;5;3;0;0;3
79;rural settlement;3;7;4;0;0;6
80;"rural settlement; burial(s)?";1;7;4;1;0;4
81;burial(s);1;5;2;1;0;
82;"rural settlement; burial(s)?";2;7;5;4;0;5
83;rural settlement;1;7;5;4;0;4
84;rural settlement;1;5;3;0;0;3
85;burial(s);1;2;1;0;0;
86;rural settlement;2;7;5;2;0;5
88;rural settlement?;1;3;1;0;0;2
89;burial(s);1;1;0;0;0;
90;rural settlement?;1;6;3;0;0;3
91;rural settlement;1;3;2;0;0;2
92;rural settlement;1;5;3;0;0;3
93;rural settlement;1;6;4;0;0;3
94;cult site;4;6;4;4;0;
