LimesLimits sites_LimesLimits_ID;final_groups_1_FINAL GROUP;Site_type;final_groups_LimesLimits_ID;LimesLimits sites_X_coordinate;LimesLimits sites_Y_coordinate;final_groups_X_coordinate;final_groups_Y_coordinate;Distance;final_groups_FINAL GROUP;obsolete
12;8;rural settlement;2;189250;415750;182200;417225;7202,647083;7;FALSE
12;8;rural settlement;10;189250;415750;182540;416940;6814,704689;5;FALSE
12;8;rural settlement;20;189250;415750;185500;415500;3758,324095;5;FALSE
12;8;rural settlement;25;189250;415750;182850;417250;6573,431372;5;FALSE
12;8;rural settlement;31;189250;415750;188860;418380;2658,759109;5;FALSE
12;8;rural settlement;771;189250;415750;185000;419650;5768,231965;2;FALSE
12;8;rural settlement;772;189250;415750;183960;420190;6906,352149;5;FALSE
12;8;rural settlement;776;189250;415750;183930;419800;6686,172298;4;FALSE
12;8;rural settlement;1060;189250;415750;182700;421800;8916,557632;6;FALSE
12;8;rural settlement;1065;189250;415750;186700;419800;4785,91684;3;FALSE
12;8;rural settlement;1111;189250;415750;190600;416100;1394,632568;6;FALSE
12;8;rural settlement;1138;189250;415750;193000;416550;3834,383914;3;FALSE
12;8;rural settlement;1139;189250;415750;192750;416050;3512,833614;2;FALSE
12;8;rural settlement;1143;189250;415750;191300;415350;2088,659857;6;FALSE
12;8;rural settlement;1144;189250;415750;192500;414950;3347,013594;4;FALSE
12;8;rural settlement;1145;189250;415750;196400;412700;7773,351915;2;FALSE
12;8;rural settlement;1146;189250;415750;194900;413150;6219,525705;3;FALSE
12;8;rural settlement;1151;189250;415750;192100;413150;3857,784338;2;FALSE
12;8;rural settlement;1163;189250;415750;191600;415200;2413,503677;2;FALSE
12;8;rural settlement;1164;189250;415750;192000;414950;2864,000698;5;FALSE
12;8;rural settlement;1166;189250;415750;187625;417450;2351,728088;1;FALSE
12;8;rural settlement;1168;189250;415750;187350;416050;1923,538406;7;FALSE
12;8;rural settlement;1172;189250;415750;185450;417000;4000,312488;2;FALSE
12;8;rural settlement;2107;189250;415750;193508;419222;5494,119402;4;FALSE
12;8;rural settlement;2111;189250;415750;196880;413080;8083,674907;2;FALSE
12;8;rural settlement;2116;189250;415750;185150;415460;4110,243302;4;FALSE
12;8;rural settlement;2117;189250;415750;187788;415962;1477,290764;6;FALSE
12;8;rural settlement;2118;189250;415750;190050;413800;2107,723891;1;FALSE
12;8;rural settlement;2120;189250;415750;181685;414556;7658,64616;4;FALSE
12;8;rural settlement;2121;189250;415750;181200;413900;8259,842614;3;FALSE
12;8;rural settlement, stone-built;1075;189250;415750;191250;415700;2000,624902;7;FALSE
12;8;rural settlement, stone-built;1076;189250;415750;192100;416850;3054,914074;7;FALSE
12;8;rural settlement, stone-built?;1173;189250;415750;186950;417900;3148,412298;6;FALSE
12;8;"rural settlement; burial(s)";4;189250;415750;180500;417500;8923,284149;5;FALSE
12;8;"rural settlement; burial(s)";18;189250;415750;188265;415195;1130,597187;5;FALSE
12;8;"rural settlement; burial(s)";21;189250;415750;187500;416500;1903,943276;7;FALSE
12;8;"rural settlement; burial(s)";1108;189250;415750;193120;421030;6546,395955;3;FALSE
12;8;"rural settlement; burial(s)";1148;189250;415750;194800;412600;6381,614216;7;FALSE
12;8;"rural settlement; cult site?";1079;189250;415750;192150;419450;4701,063709;5;FALSE
12;8;"rural settlement; cult site?; burial(s)";2106;189250;415750;193500;421365;7042,068233;7;FALSE
12;8;rural settlement?;24;189250;415750;183800;416300;5477,681991;4;FALSE
12;8;rural settlement?;1064;189250;415750;185400;419800;5587,933428;1;FALSE
12;8;rural settlement?;2108;189250;415750;193380;418850;5164,000387;6;FALSE
12;8;rural settlement?;2113;189250;415750;184473;420995;7094,346622;1;FALSE
12;8;rural settlement?;2114;189250;415750;185050;418300;4913,501806;2;FALSE
12;8;rural settlement?;2115;189250;415750;186240;417040;3274,782436;1;FALSE
