radius,num_clust,max_clust_size,max_normalized,mean_clust_size,median_clust_size
1,49,15,0.0545454545454545,3.3265306122449,3
2,40,76,0.276363636363636,5.8,2.5
3,31,88,0.32,8.41935483870968,3
4,13,123,0.447272727272727,20.5384615384615,4
5,7,241,0.876363636363636,38.4285714285714,4
6,4,257,0.934545454545455,67.5,4.5
7,4,257,0.934545454545455,67.5,4.5
8,5,257,0.934545454545455,54.4,4
9,4,260,0.945454545454545,68.75,5.5
10,4,260,0.945454545454545,68.75,5.5
11,3,260,0.945454545454545,91.6666666666667,9
12,2,260,0.945454545454545,137.5,137.5
13,2,260,0.945454545454545,137.5,137.5
14,2,260,0.945454545454545,137.5,137.5
15,2,260,0.945454545454545,137.5,137.5
16,2,260,0.945454545454545,137.5,137.5
17,2,260,0.945454545454545,137.5,137.5
18,2,260,0.945454545454545,137.5,137.5
19,2,260,0.945454545454545,137.5,137.5
20,2,260,0.945454545454545,137.5,137.5
