PlcIndex,ClstRad1,ClstRad2,ClstRad3,ClstRad4,ClstRad5,ClstRad6,ClstRad7,ClstRad8,ClstRad9,ClstRad10,ClstRad11,ClstRad12,ClstRad13,ClstRad14,ClstRad15,ClstRad16,ClstRad17,ClstRad18,ClstRad19,ClstRad20
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,NA,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,NA,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,NA,NA,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,NA,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,NA,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,NA,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,NA,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,NA,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,6,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,6,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,6,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95,NA,6,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99,NA,6,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102,7,7,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103,7,7,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,8,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,8,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
113,NA,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
118,NA,9,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
134,9,10,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
136,10,11,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
142,11,12,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
150,12,11,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
152,NA,NA,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
163,NA,9,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
211,NA,NA,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
241,13,13,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
244,13,13,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
258,NA,NA,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
273,14,10,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
282,15,9,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
285,15,9,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
321,11,12,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
324,NA,NA,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
326,NA,11,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
331,NA,NA,NA,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
332,NA,11,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
333,10,11,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
334,10,11,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
335,16,11,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
337,16,11,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
339,16,11,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
341,12,11,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
342,12,11,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
360,9,10,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
366,NA,NA,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
372,NA,NA,NA,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
378,NA,14,11,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
383,NA,14,11,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
389,NA,15,12,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
392,17,16,11,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
393,17,16,11,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
398,NA,16,11,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
406,NA,20,11,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
410,20,20,11,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
412,20,20,11,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
416,NA,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
420,21,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
421,21,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
422,21,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
423,21,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
424,21,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
425,22,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
426,22,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
431,21,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
432,21,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
434,21,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
438,21,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
439,23,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
440,23,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
