"PlcIndex","RankRad1","RankRad2","RankRad3","RankRad4","RankRad5","RankRad6","RankRad7","RankRad8","RankRad9","RankRad10","RankRad11","RankRad12","RankRad13","RankRad14","RankRad15","RankRad16","RankRad17","RankRad18","RankRad19","RankRad20"
1,27,21,20,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,27,21,20,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,0,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,28,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,29,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,0,22,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,0,0,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,0,23,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,0,23,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,0,24,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,0,24,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,30,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,30,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,28,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,29,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,0,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,13,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,13,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,13,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95,0,25,23,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99,0,25,23,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102,31,26,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103,31,26,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,14,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,14,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
113,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
118,0,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
134,32,8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
136,15,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
142,16,12,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
150,17,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
152,0,0,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
163,0,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
211,0,0,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
241,33,27,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
244,33,27,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
258,0,0,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
273,34,8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
282,35,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
285,35,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
321,16,12,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
324,0,0,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
326,0,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
331,0,0,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
332,0,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
333,15,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
334,15,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
335,18,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
337,18,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
339,18,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
341,17,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
342,17,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
360,32,8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
366,0,0,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
372,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
378,0,13,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
383,0,13,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
389,0,28,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
392,36,14,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
393,36,14,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
398,0,14,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
406,0,15,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
410,38,15,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
412,38,15,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
416,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
420,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
421,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
422,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
423,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
424,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
425,5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
426,5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
431,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
432,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
434,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
438,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
439,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
440,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
442,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
443,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
445,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
448,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
451,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
452,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
453,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
454,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
455,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
458,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
461,6,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
462,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
463,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
465,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
466,7,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
467,7,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
468,7,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
473,11,9,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
475,11,9,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
