radius,num_clust,max_clust_size,max_normalized,mean_clust_size,median_clust_size
1,64,13,0.037037037037037,3.34375,2.5
2,38,79,0.225071225071225,8.02631578947368,3
3,32,87,0.247863247863248,10.28125,3
4,15,263,0.749287749287749,22.6666666666667,3
5,7,301,0.857549857549858,49.2857142857143,3
6,8,301,0.857549857549858,43.5,3.5
7,5,305,0.868945868945869,70.2,4
8,4,305,0.868945868945869,88,22
9,3,312,0.888888888888889,117.333333333333,37
10,3,312,0.888888888888889,117.333333333333,37
11,3,312,0.888888888888889,117.333333333333,37
12,3,312,0.888888888888889,117.333333333333,37
13,3,312,0.888888888888889,117.333333333333,37
14,3,312,0.888888888888889,117.333333333333,37
15,3,312,0.888888888888889,117.333333333333,37
16,3,312,0.888888888888889,117.333333333333,37
17,3,312,0.888888888888889,117.333333333333,37
18,3,312,0.888888888888889,117.333333333333,37
19,2,312,0.888888888888889,176,176
20,1,352,1.002849002849,352,352
