PlcIndex,ClstRad1,ClstRad2,ClstRad3,ClstRad4,ClstRad5,ClstRad6,ClstRad7,ClstRad8,ClstRad9,ClstRad10,ClstRad11,ClstRad12,ClstRad13,ClstRad14,ClstRad15,ClstRad16,ClstRad17,ClstRad18,ClstRad19,ClstRad20
6,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,NA,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,NA,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,NA,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,NA,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,NA,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,NA,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,NA,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,6,6,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,6,6,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,7,6,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,7,6,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84,7,6,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,7,6,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,NA,7,5,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99,NA,7,5,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102,NA,8,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104,NA,8,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,8,9,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,8,9,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
113,NA,9,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
118,NA,10,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120,NA,10,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
122,9,10,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
131,10,10,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
132,10,10,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
134,10,10,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
136,11,11,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
