"PlcIndex","RankRad1","RankRad2","RankRad3","RankRad4","RankRad5","RankRad6","RankRad7","RankRad8","RankRad9","RankRad10","RankRad11","RankRad12","RankRad13","RankRad14","RankRad15","RankRad16","RankRad17","RankRad18","RankRad19","RankRad20"
6,0,0,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,0,0,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,17,7,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,33,7,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,0,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,34,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,35,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,0,23,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,0,24,13,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,0,24,13,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,0,25,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,0,25,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,34,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,35,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,7,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,7,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,7,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,7,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,7,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,0,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,36,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,36,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,12,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,12,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84,12,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,12,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,0,26,19,11,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99,0,26,19,11,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102,0,27,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104,0,27,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,18,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,18,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
113,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
118,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
122,37,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
131,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
132,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
