radius,num_clust,max_clust_size,max_normalized,mean_clust_size,median_clust_size
1,105,18,0.0320284697508897,3.72380952380952,2
2,52,109,0.193950177935943,9.88461538461539,4
3,20,260,0.462633451957295,27,5.5
4,10,453,0.806049822064057,55,3.5
5,6,464,0.825622775800712,92.6666666666667,13
6,3,469,0.834519572953737,186.333333333333,79
7,2,469,0.834519572953737,280.5,280.5
8,2,469,0.834519572953737,280.5,280.5
9,2,470,0.836298932384342,281,281
10,2,470,0.836298932384342,281,281
11,2,470,0.836298932384342,281,281
12,1,562,1,562,562
13,1,562,1,562,562
14,1,562,1,562,562
15,1,562,1,562,562
16,1,562,1,562,562
17,1,562,1,562,562
18,1,562,1,562,562
19,1,562,1,562,562
20,1,562,1,562,562
