PlcIndex,ClstRad1,ClstRad2,ClstRad3,ClstRad4,ClstRad5,ClstRad6,ClstRad7,ClstRad8,ClstRad9,ClstRad10,ClstRad11,ClstRad12,ClstRad13,ClstRad14,ClstRad15,ClstRad16,ClstRad17,ClstRad18,ClstRad19,ClstRad20
3,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,NA,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,NA,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,5,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,6,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,NA,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,7,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,7,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,8,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,NA,NA,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,NA,7,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,NA,7,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,9,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,9,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,9,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,9,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
