"PlcIndex","RankRad1","RankRad2","RankRad3","RankRad4","RankRad5","RankRad6","RankRad7","RankRad8","RankRad9","RankRad10","RankRad11","RankRad12","RankRad13","RankRad14","RankRad15","RankRad16","RankRad17","RankRad18","RankRad19","RankRad20"
3,0,0,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,53,35,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,53,35,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,54,36,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,19,10,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,55,10,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,19,10,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,54,36,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,0,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,0,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,56,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,57,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,0,37,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,58,20,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,58,20,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,59,20,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,0,0,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,0,38,17,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,0,38,17,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,11,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,11,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,11,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,11,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,11,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,56,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,57,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,12,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,12,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,12,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,12,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,12,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76,12,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,0,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,60,11,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,60,11,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,35,11,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,35,11,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,35,11,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95,61,28,13,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,61,28,13,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99,0,28,13,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101,0,0,13,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102,0,39,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104,0,39,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109,0,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
113,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
114,62,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,62,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
118,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
122,63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
129,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
131,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
132,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
134,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
136,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
138,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
142,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
150,36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
152,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
155,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
163,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
175,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
179,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
181,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
187,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
192,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
193,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
195,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
198,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
