radius,num_clust,max_clust_size,max_normalized,mean_clust_size,median_clust_size
1,55,12,0.0380952380952381,3.10909090909091,2
2,44,54,0.171428571428571,6.25,3.5
3,25,75,0.238095238095238,11.68,3
4,14,201,0.638095238095238,21.5,3
5,9,253,0.803174603174603,34.1111111111111,4
6,8,265,0.841269841269841,38.75,3.5
7,6,265,0.841269841269841,52.1666666666667,3.5
8,3,274,0.86984126984127,104.666666666667,36
9,3,274,0.86984126984127,104.666666666667,36
10,3,274,0.86984126984127,105,37
11,3,274,0.86984126984127,105,37
12,3,274,0.86984126984127,105.333333333333,38
13,3,274,0.86984126984127,105.333333333333,38
14,3,274,0.86984126984127,105.333333333333,38
15,3,274,0.86984126984127,105.333333333333,38
16,3,274,0.86984126984127,105.333333333333,38
17,3,274,0.86984126984127,105.333333333333,38
18,2,274,0.86984126984127,158,158
19,2,274,0.86984126984127,158,158
20,1,316,1.0031746031746,316,316
