PlcIndex,ClstRad1,ClstRad2,ClstRad3,ClstRad4,ClstRad5,ClstRad6,ClstRad7,ClstRad8,ClstRad9,ClstRad10,ClstRad11,ClstRad12,ClstRad13,ClstRad14,ClstRad15,ClstRad16,ClstRad17,ClstRad18,ClstRad19,ClstRad20
3,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,NA,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,NA,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,NA,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,NA,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,NA,5,5,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
50,NA,5,5,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
54,3,6,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,3,6,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,NA,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,NA,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,5,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,5,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,5,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,NA,7,6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99,NA,7,6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102,NA,8,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
