"PlcIndex","RankRad1","RankRad2","RankRad3","RankRad4","RankRad5","RankRad6","RankRad7","RankRad8","RankRad9","RankRad10","RankRad11","RankRad12","RankRad13","RankRad14","RankRad15","RankRad16","RankRad17","RankRad18","RankRad19","RankRad20"
3,0,0,13,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,24,27,13,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,24,27,13,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,0,14,9,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,25,14,9,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,0,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,0,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,0,28,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,0,29,18,10,7,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1
50,0,29,18,10,7,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1
54,26,30,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,26,30,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,6,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,6,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,6,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,6,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,0,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,0,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,13,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,13,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,13,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,0,31,19,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99,0,31,19,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102,0,32,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104,0,32,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109,0,0,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
113,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
118,0,12,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
