"PlcIndex","Easting","Northing"
6,179950,416600
10,182540,416940
18,188265,415195
20,185500,415500
33,173600,416800
37,171650,423750
39,170600,423900
40,170100,422950
42,174600,422100
43,167200,415200
45,168840,416120
50,160850,413050
54,163050,420220
61,164500,420300
63,169950,424050
67,169800,422650
69,168550,422800
70,167950,422050
72,167650,422700
74,166800,423050
75,166150,423400
77,165150,423100
79,163100,424550
80,162750,424700
82,162500,423350
83,162750,422600
84,162700,422950
86,161850,422500
96,149860,415420
99,148300,415500
102,158250,422800
104,159150,423500
111,139500,448750
112,139130,448760
113,138190,449200
118,153450,435400
120,152150,435935
122,150150,435950
131,160950,436120
132,160200,436150
134,159480,435680
136,142780,431280
138,152970,434340
142,150200,429500
150,147850,432150
152,154780,433480
155,154330,432580
163,154590,436160
179,154110,434520
187,158950,440500
192,162450,439400
193,160900,437400
198,152370,427890
206,153780,428350
210,151100,427750
229,152320,427250
240,155650,431450
241,156750,431050
242,157620,431560
244,156100,431000
245,154180,440870
253,146670,428140
255,153380,430830
258,152200,430450
261,153900,430400
273,159600,437530
282,156400,436180
285,157190,436560
291,156900,436250
299,154420,433250
307,150490,436700
308,154330,436330
315,156190,429850
321,149650,430100
323,148950,428600
324,148100,428750
325,148200,428400
326,142020,430280
327,147900,428350
328,147500,428180
329,148020,427970
330,147800,428000
333,143105,431765
335,145050,431810
336,140645,434085
337,144340,432070
339,145905,431795
341,147900,431870
342,147400,432100
348,146450,435630
349,149500,435100
356,161120,437100
357,160790,436900
358,161000,436600
360,160400,435725
365,161300,435450
366,162910,436350
368,163500,435380
369,164950,435700
370,166570,436830
372,167200,436850
373,168150,437450
376,166700,436000
382,168750,432050
392,164520,427640
396,164550,428920
881,177490,436770
882,179600,436280
888,176860,431250
889,174650,432400
891,178080,430010
900,147200,423500
901,147240,423880
904,147410,423140
1000,171220,428565
1004,175250,440200
1006,134000,418100
416,140600,445600
417,141720,446000
420,146260,443840
421,145650,444000
422,146455,444445
423,147000,444670
424,147566,444502
425,148650,444100
426,149432,444520
427,149046,444985
429,147635,445815
430,147360,445360
431,148037,444965
436,144400,445270
438,144750,445900
439,143750,446270
440,143300,445950
442,142400,446300
443,142640,446500
445,141960,446780
448,141700,446800
451,141220,446540
453,141200,446900
454,140830,447720
458,141240,448200
462,141200,448640
465,143180,449500
467,142850,447950
468,144600,448450
473,141580,442400
475,142520,442610
476,143230,442920
479,143550,442890
482,149450,443220
483,149750,443370
485,146300,438650
488,141270,450450
491,143012,450325
493,144025,451380
496,141950,452030
497,142227,451865
498,141661,451748
506,136340,451270
507,137820,451390
509,137410,450330
511,136920,449900
512,138200,450500
513,139100,450300
514,136570,449700
515,139550,448070
517,141560,448300
519,149950,430750
543,146900,431050
548,154580,441080
550,155540,440750
552,158310,442590
553,158715,442185
554,158800,442500
556,159850,442580
558,158210,439760
560,158900,438050
578,144500,421400
585,146250,422150
586,169300,438100
589,174710,438250
611,170410,433780
619,170400,432850
626,179450,430500
628,179380,429880
636,174850,425550
659,175600,427300
669,180730,439850
671,181730,439750
672,185540,439140
673,187330,438020
674,185750,438400
676,185300,441300
677,184700,441800
682,186450,439850
695,191600,439500
697,189450,435800
702,185730,434550
712,188280,436550
715,187500,436900
717,187950,434900
719,186925,432680
724,186500,436200
725,180000,431350
729,180550,429850
730,182400,429800
731,187950,430470
732,181160,425780
743,195500,435000
750,190450,434200
751,191650,436550
755,190900,436820
757,191850,428150
764,200420,430690
777,163250,432500
779,132920,455100
783,132300,455900
785,129922,454638
786,131380,454100
787,132040,454740
789,130740,452150
791,130100,451250
793,132100,451660
795,131850,451250
796,131900,450900
797,132050,450650
800,133800,450800
801,134800,451250
805,134280,449880
806,132800,449700
807,133050,449150
809,132600,446800
817,132500,432100
830,131950,456350
831,127170,456770
833,127920,457110
855,129700,452650
856,129650,452200
857,129950,451750
864,131550,455150
865,150300,444150
1020,136550,415650
1021,137220,417950
1022,187180,439690
1023,186230,439880
1027,127650,429300
1031,186200,433700
1034,186795,432075
1035,187640,431780
1036,188150,431660
1041,181500,430500
1042,188500,430800
1056,182550,422050
1058,182286,421785
1060,182700,421800
1072,129460,414450
1075,191250,415700
1079,192150,419450
1096,196950,427800
1098,197400,428300
1099,197500,428700
1100,197900,429300
1102,198700,430400
1108,193120,421030
1111,190600,416100
1123,162000,441250
1124,178000,424200
1131,163600,439600
1133,164990,438980
1135,165250,438450
1136,165500,438250
1139,192750,416050
1145,196400,412700
1148,194800,412600
1151,192100,413150
1154,178800,424550
1160,134900,425180
1168,187350,416050
1172,185450,417000
2006,141991,449957
2009,143260,448020
2012,143796,442691
2016,152970,444060
2025,150755,444090
2044,166560,441570
2048,169460,441670
2053,166110,445375
2062,148800,431000
2065,158400,436480
2066,159670,435580
2073,182670,435590
2074,183850,433200
2088,191168,439607
2091,196500,434980
2096,197925,441125
2099,199211,433673
2105,192250,429350
2106,193500,421365
2107,193508,419222
2116,185150,415460
2117,187788,415962
2118,190050,413800
2124,178100,424500
2144,186630,431440
2156,174540,420940
2164,166445,423754
2167,167950,412475
2185,146500,427625
3007,89400,470900
3029,92450,464600
3033,97350,464600
3037,97100,462750
3044,100075,461540
3045,97050,463180
3051,88625,467825
3057,83275,462940
3063,92865,463130
3070,101330,460280
3074,107350,458300
3089,76749,451048
3096,79350,449720
3102,82850,451400
3103,81275,451160
3113,130710,454540
3119,128430,458430
3143,82600,458400
3155,89685,460243
4004,79496,450305
4019,128819,456065
4072,75750,449462
4073,75368,449551
4074,78978,449570
4077,78635,448910
4078,81787,447919
4083,75840,446520
4087,81420,446020
4090,83015,445015
4092,73991,444830
4095,74718,443560
4110,86600,440640
4113,76290,439920
4114,87133,439309
4119,79870,437480
4123,82908,437256
4127,79910,436650
4128,80290,436450
4133,80640,435682
4144,79460,443370
4151,107825,428460
4152,105790,429380
4155,102148,429309
