"ID1" "ID2" "d12"
6 10 2.61
6 18 8.43
6 20 5.66
6 33 6.35
6 37 10.96
6 39 11.86
6 40 11.72
6 42 7.67
6 43 12.83
6 45 11.12
6 50 19.43
6 54 17.28
6 61 15.89
6 63 12.47
6 67 11.82
6 69 12.98
6 70 13.18
6 72 13.73
6 74 14.65
6 75 15.38
6 77 16.16
6 79 18.63
6 80 19.01
6 82 18.71
6 83 18.22
6 84 18.38
6 86 19.04
6 382 19.08
6 392 18.97
6 396 19.72
6 882 19.68
6 888 14.97
6 889 16.67
6 891 13.54
6 1000 14.81
6 611 19.65
6 619 18.85
6 626 13.91
6 628 13.29
6 636 10.3
6 659 11.55
6 702 18.86
6 717 19.97
6 719 17.53
6 725 14.75
6 729 13.26
6 730 13.43
6 731 16.01
6 732 9.26
6 757 16.58
6 1031 18.21
6 1034 16.92
6 1035 17.02
6 1036 17.15
6 1041 13.99
6 1042 16.58
6 1056 6.04
6 1058 5.69
6 1060 5.88
6 1075 11.34
6 1079 12.53
6 1108 13.9
6 1111 10.66
6 1124 7.85
6 1139 12.81
6 1145 16.91
6 1148 15.38
6 1151 12.63
6 1154 8.03
6 1168 7.42
6 1172 5.51
6 2073 19.18
6 2074 17.05
6 2105 17.72
6 2106 14.36
6 2107 13.81
6 2116 5.32
6 2117 7.86
6 2118 10.48
6 2124 8.11
6 2144 16.27
6 2156 6.94
6 2164 15.28
6 2167 12.69
10 18 5.99
10 20 3.29
10 33 8.94
10 37 12.84
10 39 13.82
10 40 13.82
10 42 9.47
10 43 15.44
10 45 13.72
10 54 19.76
10 61 18.35
10 63 14.46
10 67 13.96
10 69 15.17
10 70 15.46
10 72 15.97
10 74 16.88
10 75 17.62
10 77 18.45
10 882 19.56
10 888 15.4
10 889 17.36
10 891 13.81
10 1000 16.23
10 626 13.91
10 628 13.32
10 636 11.54
10 659 12.47
10 702 17.9
10 717 18.76
10 719 16.34
10 724 19.66
10 725 14.63
10 729 13.06
10 730 12.86
10 731 14.57
10 732 8.95
10 750 18.99
10 757 14.57
10 1031 17.15
10 1034 15.72
10 1035 15.69
10 1036 15.75
10 1041 13.6
10 1042 15.09
10 1056 5.11
10 1058 4.85
10 1060 4.86
10 1075 8.8
10 1079 9.93
10 1096 18.04
10 1098 18.7
10 1099 19.03
10 1100 19.72
10 1108 11.34
10 1111 8.1
10 1124 8.56
10 1139 10.25
10 1145 14.49
10 1148 13.01
10 1151 10.28
10 1154 8.48
10 1168 4.89
10 1172 2.91
10 2073 18.65
10 2074 16.31
10 2105 15.76
10 2106 11.82
10 2107 11.2
10 2116 3
10 2117 5.34
10 2118 8.14
10 2124 8.77
10 2144 15.07
10 2156 8.94
10 2164 17.48
10 2167 15.26
18 20 2.78
18 33 14.75
18 37 18.69
18 39 19.69
18 40 19.75
18 42 15.31
18 45 19.45
18 67 19.91
18 888 19.69
18 891 17.98
18 626 17.66
18 628 17.16
18 636 16.95
18 659 17.52
18 702 19.52
18 717 19.71
18 719 17.54
18 725 18.15
18 729 16.56
18 730 15.74
18 731 15.28
18 732 12.75
18 750 19.13
18 757 13.44
18 764 19.69
18 1031 18.62
18 1034 16.94
18 1035 16.6
18 1036 16.47
